Tilapia,Rainbow Trout,Barramundi,strawberry,lettuce,profit
1932.2466662016552,1924.3135905734846,1891.0223713045584,154.83240535522893,8000.0,111475.14218431267
1946.2446801812596,2000,1958.641260924635,3784.655154391143,8000.0,155112.12516145242
1920.4420733996153,1942.5883083637978,1909.477284072751,800.3120637915997,7733.877074215249,117317.97916620591
1733.5402956162297,1989.258357540434,2000,1293.4693124211992,8000.0,125031.60966880387
1945.7787721513978,1988.1002899374648,2000,2096.6890117060434,7965.317412025014,135571.59807740588
1792.8590365970356,1855.9311708905914,1983.1275227001888,289.9325606921033,6899.579151377743,104325.7667436041
1627.305269576137,1958.5583869089357,1920.6294157826067,1105.840481141925,8000.0,121010.76449519471
1877.2772948321312,1998.8611798192992,1998.6845620869803,3924.5469607325294,7897.358764877838,155896.99427274938
1805.325881377316,1909.6114703389976,1952.408010426335,2241.909318663357,7533.896938607117,131884.37687869108
1818.3951919549702,1723.7667734999893,1595.9307078580475,0.0,6804.773394462423,95260.34826711773
1955.1859830889007,1954.4469584691756,1948.9758600605628,4089.362070983435,7952.474342980395,157812.5690769354
1961.0230185000817,2000,1993.1989361975727,4870.508390665776,7868.074344155643,167200.58681832772
1964.2345925541904,1979.0821161206827,1828.0303577037046,711.1357568246665,7585.027768410801,115061.39298626766
1932.6740913044046,1976.3986706144353,1896.0474143150245,4317.450429191367,7924.659628635387,159789.38677465185
1929.5670887166398,1806.1596627360686,1947.3990879155751,119.46197437560579,8000.0,110428.31603028995
1937.8907882163055,1971.5811752806876,2000,2233.8531454299705,8000.0,137193.74375730866
1747.7024318429271,1860.7122911928977,1950.5265851024287,923.455777776894,8000.0,119058.39280806572
1750.05985652576,1728.5275372513315,1630.1045064962864,69.42808644964009,2442.8770630348104,64352.963942974704
1684.3841701671709,1939.7088953358173,1933.3002660729144,359.1717759012771,7670.281184612394,110296.71199415218
1890.7797386271295,1743.7638572274413,2000,5000.0,7913.3395080928285,166044.80817633733
2000,1889.7258864231312,1943.2257962048811,1829.2541324823922,8000.0,131548.86476307586
1999.885887648663,2000,1910.7388762717717,2667.221618653309,8000.0,142046.36075263674
1998.4260487650681,2000,1986.3547209097019,3974.614905540006,7877.3480162969745,157068.83557286963
1968.3131738050445,1965.7151770383994,2000,4109.836440227598,8000.0,159109.44669365944
1786.8973641809039,1891.38364236371,1931.965525614087,952.3090048201958,8000.0,119788.55768495856
1750.1997970340378,1840.0093508661448,2000,2183.0211247463208,8000.0,133974.53713495703
1796.5005615359753,1959.5657462694767,1908.2242975334048,3027.5770280981797,7953.3176525056515,144034.8508753855
1965.6690288279601,2000.0,2000.0,4773.000916475342,7964.422409573017,166868.55630231404
1261.9621695987746,1883.8961055626653,1534.5464544999759,723.644770879026,6845.382627547798,101041.46417973607
1834.9263244054305,1952.3098806150754,1894.4640456652753,951.3360094731756,7842.12157451573,119203.10265876939
1455.5583804401685,1750.1047894722026,1741.8911527354783,561.9131175268363,7814.387954002689,108281.37291498878
1850.2979369586853,1945.3721707271955,1899.8943388791422,0.0,6733.453414414089,100222.28790927632
2000,1983.391508595835,1927.5167988152732,3755.204161896217,7926.568310746125,154137.0716050166
1671.3315241536022,1776.1406010170344,1983.9995369597527,1523.6446610369312,8000.0,124975.0001168715
1777.8618100154242,2000,1848.2512728230874,2125.6157583233294,8000.0,133584.68819488946
1816.204832487157,1919.224502499743,1776.2529587974875,722.0746720292532,8000.0,116044.27463592176
1862.4832553581562,1917.5727424552665,1935.215708157704,1007.7831994820064,7984.682486293119,121144.50043325318
1947.42153691356,1985.1292504905557,1895.571830100341,3042.937307207494,7890.239989992287,144941.2742553549
1848.1140735712363,2000.0,1961.2585155996856,2901.5654038414286,7386.766568084055,139761.5999741655
1769.4123425416235,1738.249597352872,1830.898588942455,3926.100003790597,7621.480281073598,148875.86034249916
1719.3607921029438,2000.0,1937.1971829597608,770.7631544115897,7738.1731079052615,116450.1049978058
1947.5365380412281,1877.8739267157414,1953.4826239742124,3803.568351346053,7961.213179982729,153786.50970367715
1794.4199885777894,1719.4168653110628,1820.451911790831,2792.1693469142583,7275.031287973396,133092.76895307598
1758.8203558855785,1873.6931769045239,1748.9590608618862,1006.4820857108037,7809.006637206991,116828.75518285915
1878.434840301101,1850.5623249489233,1876.902573890741,2119.9802163296295,8000.0,133015.46337992806
1841.5762596497677,1859.7126690894725,1998.6516793607352,5000.0,7978.925950310746,167321.89044180338
1882.1008666598702,1871.3533615703425,1998.2012485265907,4284.189761093247,7990.453214643358,159497.63920243445
1426.373302654747,1928.4275847193558,1786.2503201168101,2669.6436243160088,8000.0,136099.2582090106
2000,1937.8858588008611,1973.780055757285,3833.3851996782178,8000.0,155583.92746184877
2000,1900.9306590044391,2000,4085.945100540758,8000.0,158406.2697563172
1769.5722627656944,1940.981668629782,1874.8532146378411,2105.859193923863,7943.829016696712,132566.08169260406
